index,foils.AOA.0,foils.POSITION.1.1,status,Cl,Cd,lift,drag,mesh,error
0,-4.0,0.0075,ok,-0.8603777333189724,0.08221695453147436,-134.4592944270057,12.848814268582233,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg4p0_foils_POSITION_1_1_0p0075__000.unv",
1,-4.0,0.0125,ok,-0.8670421843661473,0.08411283342628956,-135.50081067137629,13.145101037339643,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg4p0_foils_POSITION_1_1_0p0125__001.unv",
2,-4.0,0.0175,ok,-0.8760756301898378,0.08693157537747062,-136.912551938799,13.585612267756499,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg4p0_foils_POSITION_1_1_0p0175__002.unv",
3,-4.0,0.0225,ok,-0.8787283648006061,0.0867081986890164,-137.32711964581074,13.550703098495303,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg4p0_foils_POSITION_1_1_0p0225__003.unv",
4,-4.0,0.0275,ok,-0.8858740988949082,0.08629411759033374,-138.44385050398446,13.485990763193865,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg4p0_foils_POSITION_1_1_0p0275__004.unv",
5,-3.5,0.0075,ok,-0.86230032945122,0.08065058527350366,-134.75975654893077,12.604023059927357,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg3p5_foils_POSITION_1_1_0p0075__005.unv",
6,-3.5,0.0125,ok,-0.8666618812760281,0.08025105073051633,-135.44137714214187,12.541584051258386,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg3p5_foils_POSITION_1_1_0p0125__006.unv",
7,-3.5,0.0175,ok,-0.870292602161317,0.08256117040700843,-136.0087839328943,12.902608110475775,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg3p5_foils_POSITION_1_1_0p0175__007.unv",
8,-3.5,0.0225,ok,-0.8766735566943535,0.08410897449000039,-137.00599551922065,13.144497965188206,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg3p5_foils_POSITION_1_1_0p0225__008.unv",
9,-3.5,0.0275,ok,-0.8808092796697478,0.08219300513540402,-137.6523237209884,12.845071471932732,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg3p5_foils_POSITION_1_1_0p0275__009.unv",
10,-3.0,0.0075,ok,-0.8599263145917997,0.07856453019263938,-134.38874699045985,12.278015675674313,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg3p0_foils_POSITION_1_1_0p0075__010.unv",
11,-3.0,0.0125,ok,-0.8633064927582687,0.08007918084360578,-134.91699912170427,12.514724332750685,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg3p0_foils_POSITION_1_1_0p0125__011.unv",
12,-3.0,0.0175,ok,-0.8729141956190185,0.07960302100953257,-136.41848491996797,12.440310371481619,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg3p0_foils_POSITION_1_1_0p0175__012.unv",
13,-3.0,0.0225,ok,-0.8765406415406698,0.08160537182591619,-136.98522362207493,12.753236505596792,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg3p0_foils_POSITION_1_1_0p0225__013.unv",
14,-3.0,0.0275,ok,-0.8735633944453906,0.08048583442547982,-136.51994130680413,12.578275900367473,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg3p0_foils_POSITION_1_1_0p0275__014.unv",
15,-2.5,0.0075,ok,-0.8570846106293206,0.0757087570921022,-133.9446472712686,11.83171724038055,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg2p5_foils_POSITION_1_1_0p0075__015.unv",
16,-2.5,0.0125,ok,-0.8611250755555777,0.07671736436806197,-134.57608860465348,11.989341755087995,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg2p5_foils_POSITION_1_1_0p0125__016.unv",
17,-2.5,0.0175,ok,-0.8661851338264988,0.07689049481753324,-135.3668713486966,12.016398473524836,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg2p5_foils_POSITION_1_1_0p0175__017.unv",
18,-2.5,0.0225,ok,-0.8705760907974599,0.07769124254585674,-136.0530873597703,12.141538828039902,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg2p5_foils_POSITION_1_1_0p0225__018.unv",
19,-2.5,0.0275,ok,-0.8686439316224391,0.07725133825643644,-135.75113073149754,12.072790860629478,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg2p5_foils_POSITION_1_1_0p0275__019.unv",
20,-2.0,0.0075,ok,-0.8514406653770668,0.07300921038944604,-133.06261503471214,11.409833768906134,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg2p0_foils_POSITION_1_1_0p0075__020.unv",
21,-2.0,0.0125,ok,-0.8571470947538752,0.07484432694964889,-133.9544122512014,11.696624637986787,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg2p0_foils_POSITION_1_1_0p0125__021.unv",
22,-2.0,0.0175,ok,-0.8669606549113691,0.07524102583506681,-135.48806929913945,11.758620491863095,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg2p0_foils_POSITION_1_1_0p0175__022.unv",
23,-2.0,0.0225,ok,-0.8636591513456975,0.07539279869967158,-134.97211238533603,11.782339460285488,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg2p0_foils_POSITION_1_1_0p0225__023.unv",
24,-2.0,0.0275,ok,-0.8610385061819993,0.0755447720153335,-134.5625595970565,11.80608975507381,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_2_el_wing__foils_AOA_0_neg2p0_foils_POSITION_1_1_0p0275__024.unv",
